Id,Label,Type,Glass,Origin_State,Origin_Country,Interest_Rating,Average_Time,Taste_Profile,CommunityID
new orleans gin fizz,new orleans gin fizz,Cocktail,Collins glass,,,5.0,7.0,sweet,1
high kick,high kick,Cocktail,Nick & Nora glass,,New Zealand,5.0,7.0,dry,3
mattias's lemon drop,mattias's lemon drop,Cocktail,Coupe glass,,,5.0,7.0,spirity,4
katie's chelsea sidecar,katie's chelsea sidecar,Cocktail,Coupe glass,,,4.75,7.0,tangy,1
bob's peruvian elder sour,bob's peruvian elder sour,Cocktail,Martini glass,,Peru,4.75,7.0,fruity,4
the greater gatsby,the greater gatsby,Cocktail,Old-fashioned glass,,,4.75,7.0,tarty,4
jennifer's great gatsby,jennifer's great gatsby,Cocktail,Old-fashioned glass,,,4.75,7.0,fruity,4
watermelon mojito,watermelon mojito,Cocktail,Fizz or Highball (8oz to 10oz),,United States,4.65,7.0,bitter,4
berry smash (non-alcoholic),berry smash (non-alcoholic),Cocktail,Old-fashioned glass,,,4.6,7.0,tangy,1
final pill,final pill,Cocktail,Nick & Nora glass,,,4.6,7.0,citrusy,4
chocolate orange espresso martini,chocolate orange espresso martini,Cocktail,Coupe glass,,,4.55,7.0,crispy,0
blue blazer,blue blazer,Cocktail,Snifter glass,California,United States,4.5,7.0,dry,1
pineapple fizz,pineapple fizz,Cocktail,Collins glass,,Ireland,4.5,7.0,old,5
french 40,french 40,Cocktail,Collins glass,,France,4.5,7.0,dry,1
blefe,blefe,Cocktail,Coupe glass,,,4.5,7.0,earthy,4
miamor,miamor,Cocktail,Coupe glass,,,4.45,7.0,old,3
pineapple daiquiri no.1 (on-the-rocks),pineapple daiquiri no.1 (on-the-rocks),Cocktail,Old-fashioned glass,,,4.4,7.0,dry,5
scandinavian daiquiri,scandinavian daiquiri,Cocktail,Coupe glass,,,4.4,7.0,spicy,1
tropical pineapple daiquiri,tropical pineapple daiquiri,Cocktail,Old-fashioned glass,,,4.4,7.0,dry,5
swimming pool,swimming pool,Cocktail,Poco grande,,,4.4,7.0,pineapple,5
james's mudslide,james's mudslide,Cocktail,Hurricane glass,,,4.3,7.0,creamy,0
berry flip,berry flip,Cocktail,Coupe glass,,,4.27,7.0,gingery,3
elder sour,elder sour,Cocktail,Old-fashioned glass,,Peru,4.25,7.0,fresh,1
ruby,ruby,Cocktail,Coupe glass,Al Minya,Egypt,4.25,7.0,spirity,1
cherry star,cherry star,Cocktail,Coupe glass,,,4.1,7.0,tarty,4
blush martini,blush martini,Cocktail,Martini glass,,,4.0,7.0,creamy,0
